id	description	dev/test	answer（S2の文法性・適切性判断含む）	phenomena	inference_type（unknownの場合、S2の文法性・適切性が低い場合は空欄）	P1	P2	H	note														
Adj11	《同じ：同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は同じ県の出身だ。	花子は高知県の出身だ。	太郎は高知県の出身だ。	常識が必要（出身地は誰にとってもおおよそ一つ）														
Adj12	《同じ：同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は2010年ごろに同じ部署で働いていた。	花子は2010年ごろに人事部で働いていた。	太郎は2010年ごろに人事部で働いていた。	常識が必要（ある時期に所属している部署は誰に取ってもおおよそ一つ）														
Adj13	《同じ：同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎と花子は同じ大学を受験した。	太郎は東京大学を受験した。	花子は東京大学を受験した。	常識が必要。複数の大学を受験できるという常識によりunknown														
Adj14	《同じ：同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎と花子は同じ先生から空手を習った。	太郎は大山先生から空手を習った。	花子は大山先生から空手を習った。	常識が必要。複数の先生から空手を習えるという常識によりunknown														
Adj15	《同じ：同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎は花子と次郎を同じ観光地に連れて行った。	太郎は花子を浅草に連れて行った。	太郎は次郎を浅草に連れて行った。	常識が必要。複数の観光地に行けるという常識によりunknown														
Adj16	《同じ：同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎と花子は同じ大学を受験した。	花子は東京大学を受験した。	太郎は東京大学を受験した。	常識が必要。複数の大学を受験できるという常識によりunknown														
Adj17	《同じ：同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎と花子は同じ先生から空手を習った。	花子は大山先生から空手を習った。	太郎は大山先生から空手を習った。	常識が必要。複数の先生から空手を習えるという常識によりunknown														
Adj18	《同じ：同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎は花子と次郎を同じ観光地に連れて行った。	太郎は次郎を浅草に連れて行った。	太郎は花子を浅草に連れて行った。	常識が必要。複数の観光地に行けるという常識によりunknown														
Adj19	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎が今日本屋で買った本と花子が昨日図書館で借りてきた本は同じ本だ。	太郎が今日本屋で買った本は『指輪物語』だ。	花子が昨日図書館で借りてきた本は『指輪物語』だ。															
Adj20	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎が今日本屋で買った本と花子が昨日図書館で借りてきた本は同じ本だ。	太郎が今日本屋で買った本は表紙が少し痛んでいた。	花子が昨日図書館で借りてきた本は表紙が少し痛んでいた。															
Adj21	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	昨日の試飲会で太郎が一番美味しいと思ったワインと、今日の試飲会で花子が一番まずいと思ったワインは同じワインだ。	昨日の試飲会で太郎が一番美味しいと思ったワインは、ペトリュスだ。	今日の試飲会で花子が一番まずいと思ったワインは、ペトリュスだ。															
Adj22	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：コピュラ文》		unknown	"Adjective, onazi (adjective)"		昨日の試飲会で太郎が一番美味しいと思ったワインと、今日の試飲会で花子が一番まずいと思ったワインは同じワインだ。	昨日の試飲会で太郎が一番美味しいと思ったワインは、状態が良かった。	今日の試飲会で花子が一番まずいと思ったワインは、状態が良かった。															
Adj23	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎がここ最近通勤に使っている車と、花子がおととい購入した車は同じ車だ。	太郎がここ最近通勤に使っている車はベンツCクラスだ。	花子がおととい購入した車はベンツCクラスだ。															
Adj24	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎がここ最近通勤に使っている車と、花子がおととい購入した車は同じ車だ。	太郎がここ最近通勤に使っている車はボディが白だ。	花子がおととい購入した車はボディが白だ。															
Adj25	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は昨日からずっと同じ本を読んでいる。	太郎は昨日からずっと『指輪物語』を読んでいる。	花子は昨日からずっと『指輪物語』を読んでいる。															
Adj26	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎と花子は昨日からずっと同じ本を読んでいる。	太郎は昨日からずっと、図書館で借りてきた本を読んでいる。	花子は昨日からずっと、図書館で借りてきた本を読んでいる。															
Adj27	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：非コピュラ文》		yes	"Adjective, onazi (adjective)"	entailment	太郎と花子は同じTシャツを着ている。	太郎はミッキーマウスの絵が付いたTシャツを着ている。	花子はミッキーマウスの絵が付いたTシャツを着ている。															
Adj28	《同じ：必ずしも個体としての同一性ではなく、種類としての同一性を表す「同じ」：非コピュラ文》		unknown	"Adjective, onazi (adjective)"		太郎と花子は同じTシャツを着ている。	太郎は襟元のほつれたTシャツを着ている。	花子は襟元のほつれたTシャツを着ている。															
Adj29	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じシャツを着ている。		太郎は花子が着ているのと同じシャツを着ている。															
Adj30	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じ先生に空手を習った。		太郎は花子が空手を習ったのと同じ先生に空手を習った。															
Adj31	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes*	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じレストランに次郎を連れて行った。		太郎は花子を連れて行ったのと同じレストランに次郎を連れて行った。	可能な解釈のうちの一つ。														
Adj32	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes*	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じレストランに次郎を連れて行った。		太郎は、花子が次郎を連れて行ったのと同じレストランに次郎を連れて行った。	可能な解釈のうちの一つ。														
Adj33	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes*	"Adjective, onazi (adjective)"	entailment	太郎は花子に次郎と同じ本をプレゼントした。		太郎は花子に、次郎にプレゼントしたのと同じ本をプレゼントした。	可能な解釈のうちの一つ。														
Adj34	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes*	"Adjective, onazi (adjective)"	entailment	太郎は花子に次郎と同じ本をプレゼントした。		太郎は花子に、次郎が花子にプレゼントしたのと同じ本をプレゼントした。	可能な解釈のうちの一つ。														
Adj35	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes	"Adjective, onazi (adjective)"	entailment	太郎は昨日と同じシャツを着ている。		太郎は昨日着ていたのと同じシャツを着ている。															
Adj36	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes	"Adjective, onazi (adjective)"	entailment	太郎は十年前に撮った写真と同じ髪型をしている。		太郎は十年前に撮った写真の中でしていたのと同じ髪型をしている。															
Adj37	《同じ：「AはBと同じ」の言い換え（述語の補足）》		yes	"Adjective, onazi (adjective)"	entailment	太郎は古い記憶と同じ光景を今目の前に見ている。		太郎は古い記憶にあるのと同じ光景を今目の前に見ている。	常識が必要														
Adj38	《同じ：「AはBと同じ」の言い換え（述語の補足）》		#	"Adjective, onazi (adjective)"		太郎は古い記憶と同じ光景を今目の前に見ている。		太郎は古い記憶の中で今目の前に見ているのと同じ光景を見ている。	述語をすべて補うと内容的に矛盾する例。														
Adj39	《同じ：「AはBと同じ」から「AとBは同じ」への言い換え》		yes	"Adjective, onazi (adjective)"	entailment	披露宴は結婚式と同じ会場で行われる。		披露宴と結婚式は同じ会場で行われる。															
Adj40	《同じ：「AはBと同じ」から「AとBは同じ」への言い換え》		yes	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じシャツを着ている。		太郎と花子は同じシャツを着ている。															
Adj41	《同じ：「AはBと同じ」から「AとBは同じ」への言い換え》		#	"Adjective, onazi (adjective)"		太郎は昨日と同じシャツを着ている。		太郎と昨日は同じシャツを着ている。															
Adj42	《同じ：「AはBと同じ」から「AとBは同じ」への言い換え》		#	"Adjective, onazi (adjective)"		太郎は十年前に撮った写真と同じ髪型をしている。		太郎と十年前に撮った写真は同じ髪型をしている。															
Adj43	《同じ：「AはBと同じ」から「AとBは同じ」への言い換え》		#	"Adjective, onazi (adjective)"		太郎は古い記憶と同じ光景を今目の前に見ている。		太郎と古い記憶は同じ光景を今目の前に見ている。															
Adj44	《同じ：先行文脈に言及する「同じ」》		yes	"Adjective, onazi (adjective)"	entailment	太郎は文京区に住んでいる。	花子も同じ区に住んでいる。	花子は文京区に住んでいる。															
Adj45	《同じ：先行文脈に言及する「同じ」》		yes	"Adjective, onazi (adjective)"	entailment	太郎はハンバーガーを注文した。	次郎も同じものを注文した。	次郎はハンバーガーを注文した。															
Adj46	《同じ：先行文脈に言及する「同じ」》		yes	"Adjective, onazi (adjective)"	entailment	太郎は1987年にアメリカに移り住んだ。	花子は同じ年に日本に帰国した。	花子は1987年に日本に帰国した。															
Adj47	《同じ：先行文脈に言及する「同じ」》		yes	"Adjective, onazi (adjective)"	entailment	この前、三人の女性が店に来てピザを食べた。	今日も同じ人たちが店に来て同じものを食べた。	今日、三人の女性が店に来てピザを食べた。	参考：Barker(2012)														
Adj48	《同じ：先行文脈に言及する「同じ」》		unknown	"Adjective, onazi (adjective)"		前回のマラソン大会では、学生ランナーたちが上位を独占した。	今回のマラソン大会でも同じ人たちが上位を独占した。	今回のマラソン大会でも学生ランナーたちが上位を独占した。	前回学生ランナーだった人たちが今回もそうであるとは限らない（常識が必要）														
Adj49	《同じ：先行文脈に言及する「同じ」》		unknown	"Adjective, onazi (adjective)"		三年前、三人の中学生が店に来てピザを食べた。	今日も同じ人たちが店に来て同じものを食べた。	今日、三人の中学生が店に来てピザを食べた。	前回中学生だった人たちが今回もそうであるとは限らない（常識が必要）														
Adj50	《同じ：Nという点で同じであることを述べる「同じN」：「同じく」への言い換え》		yes	"Adjective, onazi (adjective)"	entailment	ジョンはメアリーと同じアメリカ人だからか、彼女と食べ物の好みが似ている。		ジョンはメアリーと同じアメリカ人だからか、彼女と食べ物の好みが似ている。															
Adj51	《同じ：Nという点で同じであることを述べる「同じN」：「同じく」への言い換え》		yes	"Adjective, onazi (adjective)"	entailment	太郎は次郎と同じ学者なので、話が合うようだ。		太郎は次郎と同じく学者なので、話が合うようだ。															
Adj52	《同じ：Nという点で同じであることを述べる「同じN」：「同じく」への言い換え》		yes	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じ受験生なので、正月も塾に通っている。		太郎は花子と同じく受験生なので、正月も塾に通っている。															
Adj53	《同じ：Nという点で同じであることを述べる「同じN」：「同じく」への言い換え》		yes	"Adjective, onazi (adjective)"		太郎は次郎と同じ猫舌なので、熱いものが食べられない。		太郎は次郎と同じく猫舌なので、熱いものが食べられない。															
Adj54	《同じ：Nという点で同じであることを述べる「同じN」は、個体としての同一性を含意しない》		no	"Adjective, onazi (adjective)"	entailment	ジョンはメアリーと同じアメリカ人だからか、彼女と食べ物の好みが似ている。		ジョンはメアリーと同一人物だ。															
Adj55	《同じ：Nという点で同じであることを述べる「同じN」は、個体としての同一性を含意しない》		no	"Adjective, onazi (adjective)"	entailment	太郎は次郎と同じ学者なので、話が合うようだ。		太郎は次郎と同一人物だ。															
Adj56	《同じ：Nという点で同じであることを述べる「同じN」は、個体としての同一性を含意しない》		no	"Adjective, onazi (adjective)"	entailment	太郎は花子と同じ受験生なので、正月も塾に通っている。		太郎と花子は同一人物だ。															
Adj57	《同じ：Nという点で同じであることを述べる「同じN」は、個体としての同一性を含意しない》		no	"Adjective, onazi (adjective)"	entailment	太郎は次郎と同じ猫舌なので、熱いものが食べられない。		太郎と次郎は同一人物だ。															
Adj58	《別だ：非同一性を表す「別だ」：コピュラ文》		no	"Adjective, betu (adjective)"	entailment	この写真の人と、今テレビに映っている人は別の人だ。	この写真の人は山田だ。	今テレビに映っている人は山田だ。															
Adj59	《別だ：非同一性を表す「別だ」：コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎が一番行きたがっている大学と、花子が今通っている大学は別の大学だ。	太郎が一番行きたがっている大学は京都大学だ。	花子が今通っている大学は京都大学だ。															
Adj60	《別だ：非同一性を表す「別だ」：コピュラ文》		no	"Adjective, betu (adjective)"	entailment	この写真の人と、今テレビに映っている人は別の人だ。	今テレビに映っている人は山田だ。	この写真の人は山田だ。															
Adj61	《別だ：非同一性を表す「別だ」：コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎が一番行きたがっている大学と、花子が今通っている大学は別の大学だ。	花子が今通っている大学は京都大学だ。	太郎が一番行きたがっている大学は京都大学だ。															
Adj62	《別だ：非同一性を表す「別だ」：非コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎と花子は別の年に生まれた。	太郎は1977年に生まれた。	花子は1977年に生まれた。	常識が必要（生年は誰にとっても一つしかない）														
Adj63	《別だ：非同一性を表す「別だ」：非コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎と花子は別の県の出身だ。	太郎は高知県の出身だ。	花子は高知県の出身だ。	常識が必要（出身地は誰にとってもおおよそ一つ）														
Adj64	《別だ：非同一性を表す「別だ」：非コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎と花子は2010年ごろに別の部署で働いていた。	太郎は2010年ごろに人事部で働いていた。	花子は2010年ごろに人事部で働いていた。	常識が必要（ある時期に所属している部署は誰に取ってもおおよそ一つ）														
Adj65	《別だ：非同一性を表す「別だ」：非コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎と花子は別の年に生まれた。	花子は1977年に生まれた。	太郎は1977年に生まれた。	常識が必要（生年は誰にとっても一つしかない）														
Adj66	《別だ：非同一性を表す「別だ」：非コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎と花子は別の県の出身だ。	花子は高知県の出身だ。	太郎は高知県の出身だ。	常識が必要（出身地は誰にとってもおおよそ一つ）														
Adj67	《別だ：非同一性を表す「別だ」：非コピュラ文》		no	"Adjective, betu (adjective)"	entailment	太郎と花子は2010年ごろに別の部署で働いていた。	花子は2010年ごろに人事部で働いていた。	太郎は2010年ごろに人事部で働いていた。	常識が必要（ある時期に所属している部署は誰に取ってもおおよそ一つ）														
Adj68	《別だ：非同一性を表す「別だ」：非コピュラ文》		unknown	"Adjective, betu (adjective)"		太郎と花子は別の大学を受験した。	太郎は東京大学を受験した。	花子は東京大学を受験した。	常識が必要。複数の大学を受験できるという常識によりunknown														
Adj69	《別だ：非同一性を表す「別だ」：非コピュラ文》		unknown	"Adjective, betu (adjective)"		太郎と花子は別の先生から空手を習った。	太郎は大山先生から空手を習った。	花子は大山先生から空手を習った。	常識が必要。複数の先生から空手を習えるという常識によりunknown														
Adj70	《別だ：非同一性を表す「別だ」：非コピュラ文》		unknown	"Adjective, betu (adjective)"		太郎は花子と次郎を別の観光地に連れて行った。	太郎は花子を浅草に連れて行った。	太郎は次郎を浅草に連れて行った。	常識が必要。複数の観光地に行けるという常識によりunknown														
Adj71	《別だ：非同一性を表す「別だ」：非コピュラ文》		unknown	"Adjective, betu (adjective)"		太郎と花子は別の大学を受験した。	花子は東京大学を受験した。	太郎は東京大学を受験した。	常識が必要。複数の大学を受験できるという常識によりunknown														
Adj72	《別だ：非同一性を表す「別だ」：非コピュラ文》		unknown	"Adjective, betu (adjective)"		太郎と花子は別の先生から空手を習った。	花子は大山先生から空手を習った。	太郎は大山先生から空手を習った。	常識が必要。複数の先生から空手を習えるという常識によりunknown														
Adj73	《別だ：非同一性を表す「別だ」：非コピュラ文》		unknown	"Adjective, betu (adjective)"		太郎は花子と次郎を別の観光地に連れて行った。	太郎は次郎を浅草に連れて行った。	太郎は花子を浅草に連れて行った。	常識が必要。複数の観光地に行けるという常識によりunknown														
Adj74	《別だ：「AはBと別の」の言い換え（述語の補足）》		yes	"Adjective, betu (adjective)"	entailment	太郎は花子とは別のシャツを着ている。		太郎は花子が着ているのとは別のシャツを着ている。															
Adj75	《別だ：「AはBと別」の言い換え（述語の補足）》		yes	"Adjective, betu (adjective)"	entailment	太郎は花子とは別の先生に空手を習った。		太郎は花子が空手を習ったのとは別の先生に空手を習った。															
Adj76	《別だ：「AはBと別」の言い換え（述語の補足）》		yes*	"Adjective, betu (adjective)"	entailment	太郎は花子とは別のレストランに次郎を連れて行った。		太郎は花子を連れて行ったのとは別のレストランに次郎を連れて行った。	可能な解釈のうちの一つ。														
Adj77	《別だ：「AはBと別」の言い換え（述語の補足）》		yes*	"Adjective, betu (adjective)"	entailment	太郎は花子とは別のレストランに次郎を連れて行った。		太郎は、花子が次郎を連れて行ったのとは別のレストランに次郎を連れて行った。	可能な解釈のうちの一つ。														
Adj78	《別だ：「AはBと別」の言い換え（述語の補足）》		yes*	"Adjective, betu (adjective)"	entailment	太郎は花子に次郎とは別の本をプレゼントした。		太郎は花子に、次郎にプレゼントしたのとは別の本をプレゼントした。	可能な解釈のうちの一つ。														
Adj79	《別だ：「AはBと別」の言い換え（述語の補足）》		yes*	"Adjective, betu (adjective)"	entailment	太郎は花子に次郎とは別の本をプレゼントした。		太郎は花子に、次郎が花子にプレゼントしたのとは別の本をプレゼントした。	可能な解釈のうちの一つ。														
Adj80	《別だ：「AはBと別」の言い換え（述語の補足）》		yes	"Adjective, betu (adjective)"	entailment	太郎は昨日とは別のシャツを着ている。		太郎は昨日着ていたのとは別のシャツを着ている。															
Adj81	《別だ：「AはBと別」の言い換え（述語の補足）》		yes	"Adjective, betu (adjective)"	entailment	太郎は十年前に撮った写真とは別の髪型をしている。		太郎は十年前に撮った写真の中でしていたのとは別の髪型をしている。															
Adj82	《別だ：「AはBと別」の言い換え（述語の補足）》		yes	"Adjective, betu (adjective)"	entailment	太郎は記憶とは別の光景を今目の前に見ている。		太郎は記憶にあるのとは別の光景を今目の前に見ている。	常識が必要														
Adj83	《別だ：「AはBと別」の言い換え（述語の補足）》		#	"Adjective, betu (adjective)"		太郎は記憶とは別の光景を今目の前に見ている。		太郎は記憶の中で今目の前に見ているのとは別の光景を見ている。	述語をすべて補うと内容的に矛盾する例。														
Adj84	《別だ：「AはBと別」から「AとBは別」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	披露宴は結婚式と別の会場で行われる。		披露宴と結婚式は別の会場で行われる。															
Adj85	《別だ：「AはBと別」から「AとBは別」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎は花子と別のシャツを着ている。		太郎と花子は別のシャツを着ている。															
Adj86	《別だ：「AはBと別」から「AとBは別」への言い換え》		#	"Adjective, betu (adjective)"		太郎は昨日と別のシャツを着ている。		太郎と昨日は別のシャツを着ている。															
Adj87	《別だ：「AはBと別」から「AとBは別」への言い換え》		#	"Adjective, betu (adjective)"		太郎は十年前に撮った写真と別の髪型をしている。		太郎と十年前に撮った写真は別の髪型をしている。															
Adj88	《別だ：「AはBと別」から「AとBは別」への言い換え》		#	"Adjective, betu (adjective)"		太郎は古い記憶と別の光景を今目の前に見ている。		太郎と古い記憶は別の光景を今目の前に見ている。															
Adj89	《別だ：先行文脈に言及する「別の」》		no	"Adjective, betu (adjective)"	entailment	太郎は文京区に住んでいる。	花子は別の区に住んでいる。	花子は文京区に住んでいる。															
Adj90	《別だ：先行文脈に言及する「別の」》		no	"Adjective, betu (adjective)"	entailment	太郎はハンバーガーを注文した。	次郎は別のものを注文した。	次郎はハンバーガーを注文した。															
Adj91	《別だ：先行文脈に言及する「別の」》		no	"Adjective, betu (adjective)"	entailment	太郎は1987年にアメリカに移り住んだ。	花子は別の年に日本に帰国した。	花子は1987年に日本に帰国した。															
Adj92	《別だ：先行文脈に言及する「別の」》		unknown	"Adjective, betu (adjective)"		この前、三人の女性が店に来てピザを食べた。	今日は別の人たちが店に来て同じものを食べた。	今日、三人の女性が店に来てピザを食べた。	参考：Barker(2012)														
Adj93	《別だ：先行文脈に言及する「別の」》		unknown	"Adjective, betu (adjective)"		前回のマラソン大会では、学生ランナーたちが上位を独占した。	今回のマラソン大会では別の人たちが上位を独占した。	今回のマラソン大会では学生ランナーたちが上位を独占した。	今回優勝した人たちが学生ランナーである可能性がある（常識が必要）														
Adj94	《別だ：先行文脈に言及する「別の」》		unknown	"Adjective, betu (adjective)"		三年前、三人の中学生が店に来てピザを食べた。	今日は別の人たちが店に来て同じものを食べた。	今日、三人の中学生が店に来てピザを食べた。	今日来店した人たちが中学生である可能性がある（常識が必要）														
Adj95	《別だ：「違う」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	この写真の人と、今テレビに映っている人は別の人だ。		この写真の人と、今テレビに映っている人は違う人だ。															
Adj96	《別だ：「違う」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎が一番行きたがっている大学と、花子が今通っている大学は別の大学だ。		太郎が一番行きたがっている大学と、花子が今通っている大学は違う大学だ。															
Adj97	《別だ：「違う」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎と花子は別の年に生まれた。		太郎と花子は違う年に生まれた。															
Adj98	《別だ：「違う」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎と花子は別の県の出身だ。		太郎と花子は違う県の出身だ。															
Adj99	《別だ：「違う」への言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎と花子は2010年ごろに別の部署で働いていた。		太郎と花子は2010年ごろに違う部署で働いていた。															
Adj100	《別だ：「違う」からの言い換え》		yes	"Adjective, betu (adjective)"	entailment	この写真の人と、今テレビに映っている人は違う人だ。		この写真の人と、今テレビに映っている人は別の人だ。															
Adj101	《別だ：「違う」からの言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎が一番行きたがっている大学と、花子が今通っている大学は違う大学だ。		太郎が一番行きたがっている大学と、花子が今通っている大学は別の大学だ。															
Adj102	《別だ：「違う」からの言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎と花子は違う年に生まれた。		太郎と花子は別の年に生まれた。															
Adj103	《別だ：「違う」からの言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎と花子は違う県の出身だ。		太郎と花子は別の県の出身だ。															
Adj104	《別だ：「違う」からの言い換え》		yes	"Adjective, betu (adjective)"	entailment	太郎と花子は2010年ごろに違う部署で働いていた。		太郎と花子は2010年ごろに別の部署で働いていた。															
Adj105	《別に：「一緒ではない」の意味の「別に」》		no	"Adjective, betu (adjective)"	entailment	太郎は花子とは別に支払いを済ませた。		太郎は花子と一緒に支払いを済ませた。															
Adj106	《別に：「一緒ではない」の意味の「別に」》		no	"Adjective, betu (adjective)"	entailment	ジョンはメアリーとは別に食事をとった。		ジョンはメアリーと一緒に食事をとった。															
Adj107	《別に：「一緒ではない」の意味の「別に」》		no	"Adjective, betu (adjective)"	entailment	太郎は花子とは別に次郎に会いに行った。		太郎は花子と一緒に次郎に会いに行った。															
Adj108	《別に：「～としてではなく」の意味の「別に」》		unknown	"Adjective, betu (adjective)"		太郎は父親から小遣いとは別に千円もらった。		太郎は父親から小遣いとして千円もらった。	小遣いをいくらもらっているか分からないのでunknown														
Adj109	《別に：「～としてではなく」の意味の「別に」》		unknown	"Adjective, betu (adjective)"		太郎は給料とは別に月に10万円稼いでいる。		太郎は給料として月に10万円稼いでいる。	給料をいくらもらっているか分からないのでunknown														
Adj110	《別に：「～としてではなく」の意味の「別に」》		no	"Adjective, betu (adjective)"	entailment	あの会社は、社員とは別に経理の専門家を雇っている。		あの会社は、社員として経理の専門家を雇っている。															
Adj111	《別に：「～としてではなく」の意味の「別に」》		no	"Adjective, betu (adjective)"	entailment	太郎は自宅とは別にアパートを借りている。		太郎は自宅としてアパートを借りている。															
Adj112	《別に：「～としてではなく」の意味の「別に」》		#	"Adjective, betu (adjective)"		花子は夕食とは別に夜食を食べた。		花子は夕食として夜食を食べた。															
Adj113	《別に：「～としてではなく」の意味の「別に」》		#	"Adjective, betu (adjective)"		あの文豪には、本妻とは別に愛人がいた。		あの文豪には、本妻として愛人がいた。															
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
